Name,City,Country,Region,Term,GPA,Advisor,College,Credits,Costs,SAPA,About
WU - Vienna University of Economics and Business - Undergraduate Level,Vienna,Austria,Europe,Spring,3,Morgan Williams-Franklin,Business,N/A,4892,No,"WU is the EU’s largest educational institution for business and economics, business law, and social sciences, with about 26,000 students. It was founded in 1898 as the “Imperial Export Academy,” with a curriculum designed to prepare students for employment in international trade. In 1975, the name changed to what it is today, and the university experienced significant growth between 1981 and 1993. WU strongly values international education and research-based teaching, and maintains EQUIS accreditation for quality control. The university recently remodeled and the new campus includes new buildings and more open green space. Learn more about this program on the Heavener International Programs website."
Yonsei University,Seoul,South Korea,Asia,Fall,3,Maria Selezneva,CLAS,18,N/A,No,"Founded in 1885, Yonsei University is the oldest private university in Korea, as well as Korea’s most internationalized and liberal institution of higher learning. Yonsei University is Asia’s highest ranked private university and is ranked 73rd in the world by The World University Rankings 2023. Yonsei is home to over 37,000 undergraduate and postgraduate students. The university maintains an extensive international network with over 700 partner institutions in 77 countries and educates the largest number of international students among Korean universities, with over 6,000 in 2022."
ZHAW - School of Engineering,Zurich,Switzerland,Europe,Fall,3,Morgan Williams-Franklin,Engineering,N/A,N/A,No,N/A
American Councils - Intensive Language Program,Taipei,Taiwan,Asia,Spring,2.5,Maria Selezneva,N/A,N/A,N/A,No,N/A
Hankuk University of Foreign Studies (ONLINE),Seoul,SouthKorea,Asia,Fall,2.5,Maria Selezneva,N/A,N/A,N/A,No,N/A
Non-UF: Africa,Cape Town,South Africa,Africa,Summer B,2.5,Cristy Dodson,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Argentina,Buenos Aires,Argentina,South America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Australia,Adelaide,Australia,Australia/Pacific Islands,Fall,2.5,Emma Stetter,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Austria,Salzburg,Austria,Europe,Summer B,2.5,Morgan Williams-Franklin,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Brazil,Sao Paulo,Brazil,South America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Canada,Toronto,Canada,North America,Spring,2.5,Emma Stetter,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Central America,Antigua,Guatemala,Central America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Chile,Santiago,Chile,South America,Spring,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Colombia,Barranquilla,Colombia,South America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Eastern Europe,Budapest,Hungary,Europe,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Ecuador,Galapagos Islands,Ecuador,South America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: France,Paris,France,Europe,Summer B,2.5,N/A,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Germany,Berlin,Germany,Europe,Spring,2.5,Morgan Williams-Franklin,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Greece,Athens,Greece,Europe,Spring,2.5,Iva Lien,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: India Nepal & Sri Lanka,Delhi,India,Asia,Fall,2.5,Maria Saley,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Ireland,Cork,Ireland,Europe,Fall,2.5,Emma Stetter,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Italy,Bari,Italy,Europe,Fall,2.5,Iva Lien,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Japan,Fukushima-shi,Japan,Asia,Summer B,2.5,Maria Saley,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Law Programs,Amsterdam,Netherlands,Europe,Summer B,N/A,Maria Selezneva,Levin College of Law,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Mexico,Piste,Mexico,North America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Middle East,Dubai,United Arab Emirates,Middle East,Summer B,2.5,N/A,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: New Zealand & Pacific Islands,Apia,Samoa,Australia/Pacific Islands,Summer B,2.5,Emma Frierson,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Peru,Cusco,Peru,South America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Portugal,Lisbon,Portugal,Europe,Spring,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Russia & Central Asia,Moscow,Russia,Europe,Spring,2.5,Maria Selezneva,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Scandinavia,Helsinki,Finland,Europe,Fall,2.5,Emma Frierson,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Singapore Thailand & Vietnam,Bangkok,Thailand,Asia,Spring,2.5,Maria Saley,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: South Korea,Busan,South Korea,Asia,Spring,2.5,Maria Saley,N/A,N/A,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Spain,Alicante,Spain,Europe,Spring,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Switzerland,Geneva,Switzerland,Europe,Summer B,2.5,N/A,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Taiwan,Taipei,Taiwan,Asia,Spring,2.5,Maria Saley,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: The Caribbean,Havana,Cuba,Central America,Summer B,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: The Netherlands,Amsterdam,Netherlands,Europe,Spring,2.5,Cristy Dodson,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: The United Kingdom,Belfast,United Kingdom,Europe,Fall,2.5,Emma Frierson,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Uruguay,Montevideo,Uruguay,South America,Fall,2.5,Lisa Dias,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Non-UF: Virtual Programs,Various,Various,Worldwide,Summer B,2.5,Maria Saley,N/A,N/A,N/A,No,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
Semester at Sea,Various,Various,Worldwide,Fall,2.5,Jess Mercier,N/A,15,N/A,Yes,"There are many study abroad programs available through third-party providers, foreign institutions, and other U.S. universities. These are referred to as ""Non-UF Programs."" To learn more about them, please visit our website. This page displays a selection of some of the more popular Non-UF program options available to you. However, please note this is not a comprehensive list. If you find a program that is not listed here, you still may be able to participate."
SRAS - Russian as a Second Language (Tbilisi),Tbilisi,Georgia,Asia,Summer C,2.5,Maria Selezneva,N/A,N/A,N/A,No,"Semester at Sea (""SAS"") is a multi-destination non-UF study abroad program. During this program, students live on a ship for an entire Fall or Spring semester and sail around the world to visit between 9-12 countries. This program is open to students of all majors from all over the world (although mainly U.S. students). It is accredited through Colorado State University."
University of Dubrovnik (transfer),Dubrovnik,Croatia,Europe,Fall,2.5,Cristy Dodson,Journalism,N/A,N/A,No,N/A
University of New South Wales,Sydney,Australia,Australia/Pacific Islands,Spring,3,Emma Stetter,N/A,N/A,N/A,No,N/A
Yonsei University,Seoul,South Korea,Asia,Summer B,2.5,Maria Selezneva,N/A,N/A,N/A,No,N/A
UF in Afghanistan,Kabul,Afghanistan,Asia,Spring,3.8,Maria Salay,CALS,13,4931,No,Agricultural Education and Communication
UF in Albania,Tirana,Albania,Europe,Spring,3.7,Cristy Dodson,CALS,9,9228,No,Agricultural Operations Management
UF in Algeria,Algiers,Algeria,Africa,Summer A,3.1,Cristy Dodson,CALS,14,3490,No,Animal Science
UF in Andorra,Andorra la Vella,Andorra,Europe,Summer C,2.7,Cristy Dodson,CALS,10,4665,No,Biological Engineering
UF in Angola,Luanda,Angola,Africa,Summer B,3.4,Cristy Dodson,CALS,8,6140,No,Biology
UF in Antigua and Barbuda,Saint John's,Antigua and Barbuda,North America,Spring,3.7,Lisa Dias,CALS,5,12283,No,Botany
UF in Argentina,Buenos Aires,Argentina,South America,Fall,3.1,Lisa Dias,CALS,13,9086,No,Dietetics
UF in Armenia,Yerevan,Armenia,Asia,Spring,3.3,Maria Salay,CALS,2,4518,No,Entomology and Nemotology
UF in Australia,Canberra,Australia,Australia/Pacific Islands,Summer C,2.2,Emma Stetter,CALS,13,4343,No,Environmental Management in Agriculture and Natural Resources
UF in Austria,Vienna,Austria,Europe,Summer A,1.6,Morgan Williams-Franklin,CALS,12,3645,No,Environmental Science
UF in Azerbaijan,Baku,Azerbaijan,Asia,Summer A,2,Maria Salay,CALS,3,10805,No,"Family, Youth and Community Sciences"
UF in Bahamas,Nassau,Bahamas,North America,Summer A,3.9,Lisa Dias,CALS,3,13517,No,Food and Resource Economics
UF in Bahrain,Manama,Bahrain,Asia,Spring,2.7,Maria Salay,CALS,13,12824,No,Food Science
UF in Bangladesh,Dhaka,Bangladesh,Asia,Summer B,2,Maria Salay,CALS,6,13628,No,Forest Resources and Conservation
UF in Barbados,Bridgetown,Barbados,North America,Spring,3.5,Lisa Dias,CALS,6,4968,No,Geomatics
UF in Belarus,Minsk,Belarus,Europe,Spring,2.3,Cristy Dodson,CALS,10,3585,No,Marine Sciences
UF in Belgium,Brussels,Belgium,Europe,Summer A,1.4,Cristy Dodson,CALS,9,8917,No,Microbiology and Cell Science
UF in Belize,Belmopan,Belize,North America,Spring,1.7,Lisa Dias,CALS,3,5011,No,Natural Resource Conservation
UF in Benin,Porto Novo,Benin,Africa,Spring,1.3,Cristy Dodson,CALS,7,14035,No,Nutritional Sciences
UF in Bolivia,La Paz,Bolivia,South America,Summer A,2.7,Lisa Dias,CALS,2,12348,No,Plant Science
UF in Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,Europe,Spring,2.7,Cristy Dodson,CALS,14,14167,No,"Soil, Water, and Ecosystem Sciences"
UF in Botswana,Gaborone,Botswana,Africa,Fall,3.2,Cristy Dodson,CALS,5,9440,No,Wildlife Ecology and Conservation
UF in Brazil,Brasilia,Brazil,South America,Spring,2.4,Lisa Dias,CALS,9,9995,No,Pre-Professional Majors
UF in Brunei,Bandar Seri Begawan,Brunei,Asia,Summer C,3.3,Maria Salay,CALS,1,9380,No,Agricultural Education and Communication
UF in Bulgaria,Sofia,Bulgaria,Europe,Spring,3,Cristy Dodson,CALS,14,3904,No,Agricultural Operations Management
UF in Burkina Faso,Ouagadougou,Burkina Faso,Africa,Fall,2.1,Cristy Dodson,CALS,6,8419,No,Animal Science
UF in Burma,Nay Pyi Taw,Burma,Asia,Summer A,2.9,Maria Salay,CALS,2,8738,No,Biological Engineering
UF in Burundi,Gitega,Burundi,Africa,Spring,2.8,Cristy Dodson,CALS,1,13940,No,Biology
UF in Cabo Verde,Praia,Cabo Verde,Africa,Spring,1.1,Cristy Dodson,CALS,4,9860,No,Botany
UF in Cambodia,Phnom Penh,Cambodia,Asia,Summer A,2.9,Maria Salay,CALS,3,14786,No,Dietetics
UF in Cameroon,Yaounde,Cameroon,Africa,Summer B,2.3,Cristy Dodson,CALS,1,8068,No,Entomology and Nemotology
UF in Canada,Ottawa,Canada,North America,Summer C,1.7,Emma Stetter,CALS,12,11291,No,Environmental Management in Agriculture and Natural Resources
UF in Cayman Islands,George Town,Cayman Islands,North America,Spring,2.6,Lisa Dias,CALS,5,6276,No,Environmental Science
UF in Central African Republic,Bangui,Central African Republic,Africa,Fall,2.5,Cristy Dodson,CALS,12,13019,No,"Family, Youth and Community Sciences"
UF in Chad,N'Djamena,Chad,Africa,Fall,1.7,Cristy Dodson,CALS,10,9141,No,Food and Resource Economics
UF in Chile,Santiago,Chile,South America,Fall,2.5,Lisa Dias,CALS,5,10094,No,Food Science
UF in China,Beijing,China,Asia,Spring,1.8,Maria Salay,CALS,1,9769,No,Forest Resources and Conservation
UF in Colombia,Bogota,Colombia,South America,Summer A,2.7,Lisa Dias,CALS,2,5013,No,Geomatics
UF in Comoros,Moroni,Comoros,Africa,Summer B,4,Cristy Dodson,CALS,1,7165,No,Marine Sciences
UF in Cook Islands,Avarua,Cook Islands,Australia/Pacific Islands,Summer C,1.9,Emma Stetter,CALS,9,9005,No,Microbiology and Cell Science
UF in Costa Rica,San Jose,Costa Rica,North America,Spring,3.1,Lisa Dias,CALS,9,10945,No,Natural Resource Conservation
UF in Côte d’Ivoire,Yamoussoukro,Côte d’Ivoire,Africa,Fall,2.6,Cristy Dodson,CALS,5,6885,No,Nutritional Sciences
UF in Croatia,Zagreb,Croatia,Europe,Spring,1.1,Cristy Dodson,CALS,13,10242,No,Plant Science
UF in Cuba,Havana,Cuba,North America,Fall,2.3,Lisa Dias,CALS,15,8129,No,"Soil, Water, and Ecosystem Sciences"
UF in Cyprus,Nicosia,Cyprus,Asia,Summer B,2.4,Maria Salay,CALS,9,13629,No,Wildlife Ecology and Conservation
UF in Czechia,Prague,Czechia,Europe,Summer B,2.5,Cristy Dodson,CALS,12,12635,No,Pre-Professional Majors
UF in Democratic Republic of the Congo,Kinshasa,Democratic Republic of the Congo,Africa,Summer B,2,Cristy Dodson,CALS,11,13151,No,Agricultural Education and Communication
UF in Denmark,Copenhagen,Denmark,Europe,Spring,1.3,Emma Frierson,CALS,7,4333,No,Agricultural Operations Management
UF in Djibouti,Djibouti,Djibouti,Africa,Summer A,3.9,Cristy Dodson,CALS,2,9789,No,Animal Science
UF in Dominica,Roseau,Dominica,North America,Summer C,3.9,Lisa Dias,CALS,8,3131,No,Biological Engineering
UF in Dominican Republic,Santo Domingo,Dominican Republic,North America,Summer A,3.5,Lisa Dias,CALS,13,4456,No,Biology
UF in Ecuador,Quito,Ecuador,South America,Summer A,3.5,Lisa Dias,CALS,13,7000,No,Botany
UF in Egypt,Cairo,Egypt,Africa,Summer A,3.8,Cristy Dodson,CALS,13,14453,No,Dietetics
UF in El Salvador,San Salvador,El Salvador,North America,Fall,1.1,Lisa Dias,CALS,12,13224,No,Entomology and Nemotology
UF in Equatorial Guinea,Malabo,Equatorial Guinea,Africa,Spring,3.5,Cristy Dodson,CALS,15,3833,No,Environmental Management in Agriculture and Natural Resources
UF in Eritrea,Asmara,Eritrea,Africa,Summer C,2,Cristy Dodson,CALS,5,6428,No,Environmental Science
UF in Estonia,Tallinn,Estonia,Europe,Summer A,1.1,Cristy Dodson,CALS,5,12322,No,"Family, Youth and Community Sciences"
UF in Eswatini,Mbabane,Eswatini,Africa,Fall,2.9,Cristy Dodson,CALS,12,10148,No,Food and Resource Economics
UF in Ethiopia,Addis Ababa,Ethiopia,Africa,Spring,2.2,Cristy Dodson,CALS,8,5091,No,Food Science
UF in Fiji,Suva,Fiji,Australia/Pacific Islands,Summer A,2.6,Emma Stetter,CALS,14,12048,No,Forest Resources and Conservation
UF in Finland,Helsinki,Finland,Europe,Summer A,1.1,Cristy Dodson,CALS,5,5576,No,Geomatics
UF in France,Paris,France,Europe,Summer B,1.4,Cristy Dodson,CALS,4,4651,No,Marine Sciences
UF in Gabon,Libreville,Gabon,Africa,Summer B,3.7,Cristy Dodson,CALS,1,6105,No,Microbiology and Cell Science
UF in Gambia,Banjul,Gambia,Africa,Spring,2.2,Cristy Dodson,CALS,12,7535,No,Natural Resource Conservation
UF in Georgia,Tbilisi,Georgia,Asia,Summer C,2.2,Maria Salay,CALS,2,9342,No,Nutritional Sciences
UF in Germany,Berlin,Germany,Europe,Spring,1,Morgan Williams-Franklin,CALS,12,4559,No,Plant Science
UF in Ghana,Accra,Ghana,Africa,Summer B,2.2,Cristy Dodson,CALS,7,9552,No,"Soil, Water, and Ecosystem Sciences"
UF in Greece,Athens,Greece,Europe,Summer C,1.3,Jill Ranaivoson,CALS,14,13069,No,Wildlife Ecology and Conservation
UF in Grenada,Saint George's,Grenada,North America,Summer B,2.9,Lisa Dias,CALS,5,5664,No,Pre-Professional Majors
UF in Guatemala,Gautemala City,Guatemala,North America,Summer C,1.9,Lisa Dias,CALS,4,6028,No,Agricultural Education and Communication
UF in Guinea,Conakry,Guinea,Africa,Summer B,1.4,Cristy Dodson,CALS,13,12872,No,Agricultural Operations Management
UF in Guinea-Bissau,Bissau,Guinea-Bissau,Africa,Summer A,3.8,Cristy Dodson,CALS,9,11361,No,Animal Science
UF in Guyana,Georgetown,Guyana,South America,Spring,3.5,Lisa Dias,CALS,15,11943,No,Biological Engineering
UF in Haiti,Port au Prince,Haiti,North America,Spring,3.7,Lisa Dias,CALS,3,6139,No,Biology
UF in Honduras,Tegucigalpa,Honduras,North America,Summer B,1.9,Lisa Dias,CALS,3,3813,No,Botany
UF in Hungary,Budapest,Hungary,Europe,Spring,2.6,Cristy Dodson,CALS,15,5742,No,Dietetics
UF in Iceland,Reykjavik,Iceland,Europe,Summer A,2.6,Cristy Dodson,CALS,6,8184,No,Entomology and Nemotology
UF in India,New Delhi,India,Asia,Summer C,1.4,Maria Salay,CALS,3,7879,No,Environmental Management in Agriculture and Natural Resources
UF in Indonesia,Jakarta,Indonesia,Asia,Fall,1.1,Maria Salay,CALS,11,14599,No,Environmental Science
UF in Iran,Tehran,Iran,Asia,Spring,3.1,Maria Salay,CALS,10,6445,No,"Family, Youth and Community Sciences"
UF in Iraq,Baghdad,Iraq,Asia,Summer C,3,Maria Salay,CALS,12,7128,No,Food and Resource Economics
UF in Ireland,Dublin,Ireland,Europe,Fall,1.1,Emma Stetter,CALS,12,3601,No,Food Science
UF in Israel,Jerusalem,Israel,Asia,Summer C,1.6,Maria Salay,CALS,5,14833,No,Forest Resources and Conservation
UF in Italy,Rome,Italy,Europe,Summer A,2.1,Morgan Williams-Franklin,CALS,1,12463,No,Geomatics
UF in Jamaica,Kingston,Jamaica,North America,Summer A,3.4,Lisa Dias,CALS,6,10951,No,Marine Sciences
UF in Japan,Tokyo,Japan,Asia,Summer A,1.9,Maria Salay,CALS,2,5337,No,Microbiology and Cell Science
UF in Jordan,Amman,Jordan,Asia,Spring,3.1,Maria Salay,CALS,14,13695,No,Natural Resource Conservation
UF in Kazakhstan,Astana,Kazakhstan,Asia,Summer C,1.8,Maria Salay,CALS,13,4342,No,Nutritional Sciences
UF in Kenya,Nairobi,Kenya,Africa,Summer C,3.4,Cristy Dodson,CALS,1,3961,No,Plant Science
UF in Korea,Pyongyang,Korea,Asia,Summer A,3.4,Cristy Dodson,CALS,13,9148,No,"Soil, Water, and Ecosystem Sciences"
UF in Kosovo,Pristina,Kosovo,Europe,Summer C,3.3,Cristy Dodson,CALS,12,9082,No,Wildlife Ecology and Conservation
UF in Kuwait,Kuwait City,Kuwait,Asia,Summer C,3.5,Maria Salay,CALS,13,6433,No,Pre-Professional Majors
UF in Kyrgyzstan,Bishkek,Kyrgyzstan,Asia,Fall,1.5,Maria Salay,CALS,8,11652,No,Agricultural Education and Communication
UF in Laos,Vientaine,Laos,Asia,Summer C,1.2,Maria Salay,CALS,14,5802,No,Agricultural Operations Management
UF in Latvia,Riga,Latvia,Europe,Fall,1.3,Cristy Dodson,CALS,8,8974,No,Animal Science
UF in Lebanon,Beirut,Lebanon,Asia,Summer C,2.8,Maria Salay,CALS,9,11632,No,Biological Engineering
UF in Lesotho,Maseru,Lesotho,Africa,Summer B,3.3,Cristy Dodson,CALS,11,6846,No,Biology
UF in Liberia,Monrovia,Liberia,Africa,Summer B,3.8,Cristy Dodson,CALS,7,7886,No,Botany
